,cust,grade,t,y
4845,404,1,9,1
4846,404,1,10,0
4847,404,1,11,1
4848,404,1,12,1
4849,405,1,1,0
4850,405,1,2,0
4851,405,1,3,2
4852,405,1,4,1
4853,405,1,5,1
4854,405,1,6,0
4855,405,1,7,2
4856,405,1,8,2
4857,405,1,9,1
4858,405,1,10,0
4859,405,1,11,1
4860,405,1,12,2
4861,406,1,1,0
4862,406,1,2,1
4863,406,1,3,0
4864,406,1,4,1
4865,406,1,5,0
4866,406,1,6,0
4867,406,1,7,0
4868,406,1,8,2
4869,406,1,9,2
4870,406,1,10,1
4871,406,1,11,0
4872,406,1,12,1
4873,407,1,1,0
4874,407,1,2,0
4875,407,1,3,0
4876,407,1,4,0
4877,407,1,5,0
4878,407,1,6,0
4879,407,1,7,1
4880,407,1,8,1
4881,407,1,9,0
4882,407,1,10,0
4883,407,1,11,2
4884,407,1,12,2
4885,408,1,1,2
4886,408,1,2,2
4887,408,1,3,1
4888,408,1,4,1
4889,408,1,5,1
4890,408,1,6,0
4891,408,1,7,1
4892,408,1,8,0
4893,408,1,9,0
4894,408,1,10,0
4895,408,1,11,0
4896,408,1,12,0
4897,409,1,1,0
4898,409,1,2,1
4899,409,1,3,0
4900,409,1,4,1
4901,409,1,5,0
4902,409,1,6,0
4903,409,1,7,1
4904,409,1,8,1
4905,409,1,9,0
4906,409,1,10,0
4907,409,1,11,2
4908,409,1,12,2
4909,410,0,1,0
4910,410,0,2,0
4911,410,0,3,0
4912,410,0,4,0
4913,410,0,5,0
4914,410,0,6,0
4915,410,0,7,0
4916,410,0,8,0
4917,410,0,9,0
4918,410,0,10,0
4919,410,0,11,0
4920,410,0,12,0
4921,411,0,1,1
4922,411,0,2,2
4923,411,0,3,3
4924,411,0,4,3
4925,411,0,5,3
4926,411,0,6,3
4927,411,0,7,3
4928,411,0,8,3
4929,411,0,9,3
4930,411,0,10,3
4931,411,0,11,3
4932,411,0,12,3
4933,412,1,1,1
4934,412,1,2,1
4935,412,1,3,0
4936,412,1,4,1
4937,412,1,5,1
4938,412,1,6,0
4939,412,1,7,1
4940,412,1,8,0
4941,412,1,9,0
4942,412,1,10,1
4943,412,1,11,1
4944,412,1,12,1
4945,413,1,1,0
4946,413,1,2,0
4947,413,1,3,0
4948,413,1,4,1
4949,413,1,5,0
4950,413,1,6,1
4951,413,1,7,2
4952,413,1,8,2
4953,413,1,9,2
4954,413,1,10,2
4955,413,1,11,3
4956,413,1,12,3
4957,414,1,1,1
4958,414,1,2,0
4959,414,1,3,2
4960,414,1,4,2
4961,414,1,5,2
4962,414,1,6,3
4963,414,1,7,1
4964,414,1,8,0
4965,414,1,9,0
4966,414,1,10,0
4967,414,1,11,0
4968,414,1,12,1
4969,415,0,1,0
4970,415,0,2,0
4971,415,0,3,0
4972,415,0,4,0
4973,415,0,5,0
4974,415,0,6,0
4975,415,0,7,0
4976,415,0,8,0
4977,415,0,9,0
4978,415,0,10,0
4979,415,0,11,0
4980,415,0,12,0
4981,416,1,1,1
4982,416,1,2,0
4983,416,1,3,2
4984,416,1,4,2
4985,416,1,5,2
4986,416,1,6,1
4987,416,1,7,1
4988,416,1,8,0
4989,416,1,9,0
4990,416,1,10,0
4991,416,1,11,0
4992,416,1,12,1
4993,417,0,1,0
4994,417,0,2,0
4995,417,0,3,0
4996,417,0,4,0
4997,417,0,5,0
4998,417,0,6,0
4999,417,0,7,1
5000,417,0,8,0
5001,417,0,9,0
5002,417,0,10,0
5003,417,0,11,0
5004,417,0,12,1
5005,418,0,1,0
5006,418,0,2,0
5007,418,0,3,0
5008,418,0,4,0
5009,418,0,5,1
5010,418,0,6,0
5011,418,0,7,0
5012,418,0,8,0
5013,418,0,9,0
5014,418,0,10,1
5015,418,0,11,1
5016,418,0,12,2
5017,419,1,1,0
5018,419,1,2,1
5019,419,1,3,1
5020,419,1,4,0
5021,419,1,5,0
5022,419,1,6,0
5023,419,1,7,0
5024,419,1,8,0
5025,419,1,9,1
5026,419,1,10,1
5027,419,1,11,1
5028,419,1,12,1
5029,420,0,1,0
5030,420,0,2,0
5031,420,0,3,0
5032,420,0,4,0
5033,420,0,5,0
5034,420,0,6,0
5035,420,0,7,0
5036,420,0,8,0
5037,420,0,9,0
5038,420,0,10,0
5039,420,0,11,0
5040,420,0,12,0
5041,421,1,1,0
5042,421,1,2,0
5043,421,1,3,1
5044,421,1,4,1
5045,421,1,5,2
5046,421,1,6,1
5047,421,1,7,1
5048,421,1,8,0
5049,421,1,9,1
5050,421,1,10,1
5051,421,1,11,0
5052,421,1,12,0
5053,422,1,1,1
5054,422,1,2,1
5055,422,1,3,1
5056,422,1,4,1
5057,422,1,5,1
5058,422,1,6,1
5059,422,1,7,0
5060,422,1,8,0
5061,422,1,9,0
5062,422,1,10,0
5063,422,1,11,1
5064,422,1,12,1
5065,423,1,1,2
5066,423,1,2,2
5067,423,1,3,2
5068,423,1,4,1
5069,423,1,5,1
5070,423,1,6,0
5071,423,1,7,1
5072,423,1,8,2
5073,423,1,9,2
5074,423,1,10,0
5075,423,1,11,1
5076,423,1,12,3
5077,424,1,1,1
5078,424,1,2,1
5079,424,1,3,0
5080,424,1,4,0
5081,424,1,5,0
5082,424,1,6,0
5083,424,1,7,0
5084,424,1,8,1
5085,424,1,9,0
5086,424,1,10,0
5087,424,1,11,1
5088,424,1,12,1
5089,425,1,1,0
5090,425,1,2,0
5091,425,1,3,0
5092,425,1,4,0
5093,425,1,5,0
5094,425,1,6,0
5095,425,1,7,1
5096,425,1,8,0
5097,425,1,9,0
5098,425,1,10,2
5099,425,1,11,1
5100,425,1,12,1
5101,426,1,1,0
5102,426,1,2,1
5103,426,1,3,1
5104,426,1,4,0
5105,426,1,5,1
5106,426,1,6,1
5107,426,1,7,0
5108,426,1,8,0
5109,426,1,9,2
5110,426,1,10,1
5111,426,1,11,1
5112,426,1,12,1
5113,427,0,1,0
5114,427,0,2,0
5115,427,0,3,0
5116,427,0,4,0
5117,427,0,5,0
5118,427,0,6,0
5119,427,0,7,0
5120,427,0,8,0
5121,427,0,9,0
5122,427,0,10,0
5123,427,0,11,0
5124,427,0,12,0
5125,428,0,1,0
5126,428,0,2,0
5127,428,0,3,0
5128,428,0,4,0
5129,428,0,5,0
5130,428,0,6,0
5131,428,0,7,0
5132,428,0,8,0
5133,428,0,9,0
5134,428,0,10,0
5135,428,0,11,0
5136,428,0,12,0
5137,429,1,1,0
5138,429,1,2,1
5139,429,1,3,2
5140,429,1,4,0
5141,429,1,5,1
5142,429,1,6,1
5143,429,1,7,1
5144,429,1,8,1
5145,429,1,9,2
5146,429,1,10,2
5147,429,1,11,2
5148,429,1,12,0
5149,430,1,1,0
5150,430,1,2,1
5151,430,1,3,0
5152,430,1,4,0
5153,430,1,5,0
5154,430,1,6,0
5155,430,1,7,0
5156,430,1,8,0
5157,430,1,9,1
5158,430,1,10,1
5159,430,1,11,3
5160,430,1,12,3
5161,431,1,1,0
5162,431,1,2,0
5163,431,1,3,1
5164,431,1,4,1
5165,431,1,5,0
5166,431,1,6,0
5167,431,1,7,0
5168,431,1,8,1
5169,431,1,9,1
5170,431,1,10,2
5171,431,1,11,2
5172,431,1,12,2
5173,432,0,1,0
5174,432,0,2,0
5175,432,0,3,0
5176,432,0,4,0
5177,432,0,5,0
5178,432,0,6,1
5179,432,0,7,1
5180,432,0,8,1
5181,432,0,9,2
5182,432,0,10,3
5183,432,0,11,3
5184,432,0,12,3
5185,433,1,1,0
5186,433,1,2,2
5187,433,1,3,2
5188,433,1,4,1
5189,433,1,5,0
5190,433,1,6,0
5191,433,1,7,1
5192,433,1,8,0
5193,433,1,9,2
5194,433,1,10,0
5195,433,1,11,0
5196,433,1,12,1
5197,434,1,1,0
5198,434,1,2,0
5199,434,1,3,1
5200,434,1,4,1
5201,434,1,5,0
5202,434,1,6,0
5203,434,1,7,0
5204,434,1,8,2
5205,434,1,9,1
5206,434,1,10,2
5207,434,1,11,2
5208,434,1,12,2
5209,435,0,1,0
5210,435,0,2,0
5211,435,0,3,0
5212,435,0,4,0
5213,435,0,5,0
5214,435,0,6,0
5215,435,0,7,0
5216,435,0,8,0
5217,435,0,9,0
5218,435,0,10,0
5219,435,0,11,0
5220,435,0,12,0
5221,436,1,1,0
5222,436,1,2,0
5223,436,1,3,0
5224,436,1,4,0
5225,436,1,5,0
5226,436,1,6,1
5227,436,1,7,2
5228,436,1,8,1
5229,436,1,9,2
5230,436,1,10,0
5231,436,1,11,0
5232,436,1,12,0
5233,437,1,1,0
5234,437,1,2,1
5235,437,1,3,1
5236,437,1,4,0
5237,437,1,5,0
5238,437,1,6,0
5239,437,1,7,1
5240,437,1,8,0
5241,437,1,9,0
5242,437,1,10,2
5243,437,1,11,1
5244,437,1,12,1
5245,438,0,1,0
5246,438,0,2,0
5247,438,0,3,0
5248,438,0,4,0
5249,438,0,5,0
5250,438,0,6,0
5251,438,0,7,0
5252,438,0,8,0
5253,438,0,9,0
5254,438,0,10,0
5255,438,0,11,0
5256,438,0,12,0
5257,439,1,1,1
5258,439,1,2,0
5259,439,1,3,0
5260,439,1,4,1
5261,439,1,5,0
5262,439,1,6,2
5263,439,1,7,2
5264,439,1,8,2
5265,439,1,9,2
5266,439,1,10,1
5267,439,1,11,2
5268,439,1,12,2
5269,440,1,1,1
5270,440,1,2,0
5271,440,1,3,0
5272,440,1,4,0
5273,440,1,5,1
5274,440,1,6,1
5275,440,1,7,0
5276,440,1,8,0
5277,440,1,9,0
5278,440,1,10,0
5279,440,1,11,0
5280,440,1,12,0
5281,441,1,1,0
5282,441,1,2,0
5283,441,1,3,1
5284,441,1,4,1
5285,441,1,5,2
5286,441,1,6,3
5287,441,1,7,3
5288,441,1,8,3
5289,441,1,9,3
5290,441,1,10,3
5291,441,1,11,2
5292,441,1,12,3
5293,442,1,1,1
5294,442,1,2,0
5295,442,1,3,1
5296,442,1,4,0
5297,442,1,5,0
5298,442,1,6,0
5299,442,1,7,1
5300,442,1,8,0
5301,442,1,9,0
5302,442,1,10,0
5303,442,1,11,2
5304,442,1,12,1
5305,443,1,1,1
5306,443,1,2,0
5307,443,1,3,0
5308,443,1,4,0
5309,443,1,5,0
5310,443,1,6,1
5311,443,1,7,1
5312,443,1,8,1
5313,443,1,9,1
5314,443,1,10,0
5315,443,1,11,0
5316,443,1,12,0
5317,444,0,1,0
5318,444,0,2,0
5319,444,0,3,1
5320,444,0,4,2
5321,444,0,5,1
5322,444,0,6,2
5323,444,0,7,1
5324,444,0,8,1
5325,444,0,9,1
5326,444,0,10,0
5327,444,0,11,0
5328,444,0,12,0
5329,445,1,1,0
5330,445,1,2,1
5331,445,1,3,0
5332,445,1,4,0
5333,445,1,5,0
5334,445,1,6,2
5335,445,1,7,2
5336,445,1,8,1
5337,445,1,9,0
5338,445,1,10,1
5339,445,1,11,1
5340,445,1,12,1
5341,446,1,1,1
5342,446,1,2,2
5343,446,1,3,1
5344,446,1,4,1
5345,446,1,5,0
5346,446,1,6,1
5347,446,1,7,0
5348,446,1,8,0
5349,446,1,9,0
5350,446,1,10,0
5351,446,1,11,0
5352,446,1,12,1
5353,447,1,1,1
5354,447,1,2,0
5355,447,1,3,1
5356,447,1,4,2
5357,447,1,5,2
5358,447,1,6,0
5359,447,1,7,0
5360,447,1,8,0
5361,447,1,9,1
5362,447,1,10,0
5363,447,1,11,0
5364,447,1,12,0
5365,448,1,1,0
5366,448,1,2,1
5367,448,1,3,0
5368,448,1,4,0
5369,448,1,5,0
5370,448,1,6,0
5371,448,1,7,0
5372,448,1,8,2
5373,448,1,9,1
5374,448,1,10,0
5375,448,1,11,1
5376,448,1,12,0
5377,449,1,1,0
5378,449,1,2,0
5379,449,1,3,2
5380,449,1,4,1
5381,449,1,5,1
5382,449,1,6,2
5383,449,1,7,2
5384,449,1,8,2
5385,449,1,9,1
5386,449,1,10,1
5387,449,1,11,0
5388,449,1,12,0
5389,450,1,1,1
5390,450,1,2,1
5391,450,1,3,0
5392,450,1,4,0
5393,450,1,5,0
5394,450,1,6,0
5395,450,1,7,0
5396,450,1,8,0
5397,450,1,9,1
5398,450,1,10,0
5399,450,1,11,0
5400,450,1,12,2
5401,451,1,1,0
5402,451,1,2,0
5403,451,1,3,0
5404,451,1,4,0
5405,451,1,5,0
5406,451,1,6,2
5407,451,1,7,1
5408,451,1,8,0
5409,451,1,9,1
5410,451,1,10,2
5411,451,1,11,1
5412,451,1,12,1
5413,452,1,1,0
5414,452,1,2,0
5415,452,1,3,0
5416,452,1,4,0
5417,452,1,5,1
5418,452,1,6,1
5419,452,1,7,0
5420,452,1,8,1
5421,452,1,9,1
5422,452,1,10,1
5423,452,1,11,0
5424,452,1,12,0
5425,453,1,1,0
5426,453,1,2,0
5427,453,1,3,0
5428,453,1,4,0
5429,453,1,5,0
5430,453,1,6,1
5431,453,1,7,2
5432,453,1,8,1
5433,453,1,9,2
5434,453,1,10,2
5435,453,1,11,1
5436,453,1,12,1
5437,454,1,1,0
5438,454,1,2,1
5439,454,1,3,0
5440,454,1,4,0
5441,454,1,5,0
5442,454,1,6,0
5443,454,1,7,0
5444,454,1,8,0
5445,454,1,9,1
5446,454,1,10,0
5447,454,1,11,0
5448,454,1,12,0
5449,455,1,1,1
5450,455,1,2,0
5451,455,1,3,1
5452,455,1,4,1
5453,455,1,5,0
5454,455,1,6,0
5455,455,1,7,0
5456,455,1,8,2
5457,455,1,9,2
5458,455,1,10,2
5459,455,1,11,2
5460,455,1,12,1
5461,456,1,1,0
5462,456,1,2,1
5463,456,1,3,0
5464,456,1,4,1
5465,456,1,5,0
5466,456,1,6,1
5467,456,1,7,1
5468,456,1,8,0
5469,456,1,9,0
5470,456,1,10,0
5471,456,1,11,1
5472,456,1,12,0
5473,457,1,1,0
5474,457,1,2,2
5475,457,1,3,2
5476,457,1,4,2
5477,457,1,5,1
5478,457,1,6,2
5479,457,1,7,1
5480,457,1,8,0
5481,457,1,9,2
5482,457,1,10,1
5483,457,1,11,2
5484,457,1,12,3
5485,458,1,1,0
5486,458,1,2,1
5487,458,1,3,0
5488,458,1,4,0
5489,458,1,5,0
5490,458,1,6,0
5491,458,1,7,0
5492,458,1,8,1
5493,458,1,9,0
5494,458,1,10,0
5495,458,1,11,0
5496,458,1,12,0
5497,459,1,1,0
5498,459,1,2,0
5499,459,1,3,1
5500,459,1,4,0
5501,459,1,5,1
5502,459,1,6,1
5503,459,1,7,1
5504,459,1,8,1
5505,459,1,9,2
5506,459,1,10,3
5507,459,1,11,3
5508,459,1,12,3
5509,460,1,1,0
5510,460,1,2,0
5511,460,1,3,0
5512,460,1,4,0
5513,460,1,5,0
5514,460,1,6,0
5515,460,1,7,0
5516,460,1,8,0
5517,460,1,9,0
5518,460,1,10,1
5519,460,1,11,1
5520,460,1,12,1
5521,461,1,1,0
5522,461,1,2,0
5523,461,1,3,1
5524,461,1,4,0
5525,461,1,5,0
5526,461,1,6,0
5527,461,1,7,0
5528,461,1,8,2
5529,461,1,9,2
5530,461,1,10,1
5531,461,1,11,2
5532,461,1,12,2
5533,462,0,1,0
5534,462,0,2,0
5535,462,0,3,0
5536,462,0,4,0
5537,462,0,5,0
5538,462,0,6,0
5539,462,0,7,0
5540,462,0,8,0
5541,462,0,9,0
5542,462,0,10,0
5543,462,0,11,0
5544,462,0,12,0
5545,463,1,1,1
5546,463,1,2,0
5547,463,1,3,1
5548,463,1,4,0
5549,463,1,5,0
5550,463,1,6,0
5551,463,1,7,1
5552,463,1,8,0
5553,463,1,9,0
5554,463,1,10,1
5555,463,1,11,1
5556,463,1,12,1
5557,464,0,1,0
5558,464,0,2,0
5559,464,0,3,0
5560,464,0,4,0
5561,464,0,5,0
5562,464,0,6,0
5563,464,0,7,0
5564,464,0,8,0
5565,464,0,9,0
5566,464,0,10,0
5567,464,0,11,0
5568,464,0,12,0
5569,465,1,1,0
5570,465,1,2,0
5571,465,1,3,0
5572,465,1,4,0
5573,465,1,5,0
5574,465,1,6,1
5575,465,1,7,0
5576,465,1,8,1
5577,465,1,9,1
5578,465,1,10,0
5579,465,1,11,0
5580,465,1,12,0
5581,466,1,1,2
5582,466,1,2,2
5583,466,1,3,2
5584,466,1,4,1
5585,466,1,5,1
5586,466,1,6,1
5587,466,1,7,0
5588,466,1,8,0
5589,466,1,9,0
5590,466,1,10,1
5591,466,1,11,1
5592,466,1,12,1
5593,467,1,1,1
5594,467,1,2,0
5595,467,1,3,0
5596,467,1,4,0
5597,467,1,5,0
5598,467,1,6,0
5599,467,1,7,2
5600,467,1,8,0
5601,467,1,9,0
5602,467,1,10,1
5603,467,1,11,1
5604,467,1,12,1
5605,468,1,1,0
5606,468,1,2,0
5607,468,1,3,1
5608,468,1,4,0
5609,468,1,5,1
5610,468,1,6,0
5611,468,1,7,1
5612,468,1,8,0
5613,468,1,9,0
5614,468,1,10,0
5615,468,1,11,0
5616,468,1,12,0
5617,469,0,1,0
5618,469,0,2,0
5619,469,0,3,0
5620,469,0,4,0
5621,469,0,5,0
5622,469,0,6,0
5623,469,0,7,0
5624,469,0,8,0
5625,469,0,9,0
5626,469,0,10,0
5627,469,0,11,0
5628,469,0,12,0
5629,470,1,1,1
5630,470,1,2,0
5631,470,1,3,0
5632,470,1,4,1
5633,470,1,5,1
5634,470,1,6,0
5635,470,1,7,1
5636,470,1,8,1
5637,470,1,9,0
5638,470,1,10,0
5639,470,1,11,1
5640,470,1,12,1
5641,471,0,1,0
5642,471,0,2,0
5643,471,0,3,0
5644,471,0,4,0
5645,471,0,5,0
5646,471,0,6,0
5647,471,0,7,0
5648,471,0,8,0
5649,471,0,9,0
5650,471,0,10,0
5651,471,0,11,0
5652,471,0,12,0
5653,472,1,1,1
5654,472,1,2,1
5655,472,1,3,2
5656,472,1,4,1
5657,472,1,5,0
5658,472,1,6,0
5659,472,1,7,0
5660,472,1,8,0
5661,472,1,9,0
5662,472,1,10,0
5663,472,1,11,0
5664,472,1,12,0
5665,473,1,1,0
5666,473,1,2,0
5667,473,1,3,1
5668,473,1,4,2
5669,473,1,5,2
5670,473,1,6,2
5671,473,1,7,2
5672,473,1,8,1
5673,473,1,9,0
5674,473,1,10,1
5675,473,1,11,0
5676,473,1,12,1
5677,474,0,1,0
5678,474,0,2,0
5679,474,0,3,0
5680,474,0,4,0
5681,474,0,5,0
5682,474,0,6,0
5683,474,0,7,0
5684,474,0,8,0
5685,474,0,9,0
5686,474,0,10,0
5687,474,0,11,0
5688,474,0,12,0
5689,475,1,1,2
5690,475,1,2,1
5691,475,1,3,0
5692,475,1,4,1
5693,475,1,5,0
5694,475,1,6,0
5695,475,1,7,1
5696,475,1,8,0
5697,475,1,9,0
5698,475,1,10,0
5699,475,1,11,0
5700,475,1,12,0
5701,476,1,1,0
5702,476,1,2,0
5703,476,1,3,0
5704,476,1,4,0
5705,476,1,5,0
5706,476,1,6,0
5707,476,1,7,0
5708,476,1,8,0
5709,476,1,9,0
5710,476,1,10,2
5711,476,1,11,0
5712,476,1,12,0
5713,477,1,1,0
5714,477,1,2,0
5715,477,1,3,0
5716,477,1,4,0
5717,477,1,5,1
5718,477,1,6,1
5719,477,1,7,0
5720,477,1,8,1
5721,477,1,9,0
5722,477,1,10,0
5723,477,1,11,0
5724,477,1,12,0
5725,478,1,1,0
5726,478,1,2,0
5727,478,1,3,1
5728,478,1,4,0
5729,478,1,5,0
5730,478,1,6,0
5731,478,1,7,1
5732,478,1,8,0
5733,478,1,9,0
5734,478,1,10,0
5735,478,1,11,0
5736,478,1,12,1
5737,479,1,1,0
5738,479,1,2,2
5739,479,1,3,2
5740,479,1,4,2
5741,479,1,5,3
5742,479,1,6,3
5743,479,1,7,2
5744,479,1,8,1
5745,479,1,9,0
5746,479,1,10,0
5747,479,1,11,0
5748,479,1,12,1
5749,480,1,1,1
5750,480,1,2,0
5751,480,1,3,1
5752,480,1,4,0
5753,480,1,5,0
5754,480,1,6,0
5755,480,1,7,0
5756,480,1,8,0
5757,480,1,9,0
5758,480,1,10,1
5759,480,1,11,0
5760,480,1,12,1
5761,481,1,1,1
5762,481,1,2,1
5763,481,1,3,0
5764,481,1,4,0
5765,481,1,5,0
5766,481,1,6,1
5767,481,1,7,1
5768,481,1,8,1
5769,481,1,9,1
5770,481,1,10,1
5771,481,1,11,1
5772,481,1,12,2
5773,482,1,1,0
5774,482,1,2,0
5775,482,1,3,0
5776,482,1,4,1
5777,482,1,5,0
5778,482,1,6,2
5779,482,1,7,2
5780,482,1,8,2
5781,482,1,9,2
5782,482,1,10,2
5783,482,1,11,2
5784,482,1,12,2
5785,483,1,1,0
5786,483,1,2,1
5787,483,1,3,1
5788,483,1,4,1
5789,483,1,5,1
5790,483,1,6,1
5791,483,1,7,0
5792,483,1,8,0
5793,483,1,9,0
5794,483,1,10,1
5795,483,1,11,1
5796,483,1,12,0
5797,484,1,1,0
5798,484,1,2,1
5799,484,1,3,2
5800,484,1,4,1
5801,484,1,5,1
5802,484,1,6,1
5803,484,1,7,0
5804,484,1,8,0
5805,484,1,9,2
5806,484,1,10,2
5807,484,1,11,2
5808,484,1,12,2
5809,485,1,1,1
5810,485,1,2,1
5811,485,1,3,1
5812,485,1,4,2
5813,485,1,5,0
5814,485,1,6,1
5815,485,1,7,0
5816,485,1,8,0
5817,485,1,9,1
5818,485,1,10,0
5819,485,1,11,1
5820,485,1,12,1
5821,486,1,1,0
5822,486,1,2,0
5823,486,1,3,0
5824,486,1,4,0
5825,486,1,5,1
5826,486,1,6,0
5827,486,1,7,0
5828,486,1,8,1
5829,486,1,9,0
5830,486,1,10,0
5831,486,1,11,0
5832,486,1,12,0
5833,487,1,1,0
5834,487,1,2,0
5835,487,1,3,0
5836,487,1,4,0
5837,487,1,5,2
5838,487,1,6,1
5839,487,1,7,0
5840,487,1,8,2
5841,487,1,9,3
5842,487,1,10,1
5843,487,1,11,0
5844,487,1,12,0
5845,488,1,1,0
5846,488,1,2,0
5847,488,1,3,0
5848,488,1,4,2
5849,488,1,5,2
5850,488,1,6,2
5851,488,1,7,3
5852,488,1,8,2
5853,488,1,9,2
5854,488,1,10,1
5855,488,1,11,1
5856,488,1,12,0
5857,489,1,1,1
5858,489,1,2,1
5859,489,1,3,1
5860,489,1,4,0
5861,489,1,5,0
5862,489,1,6,1
5863,489,1,7,1
5864,489,1,8,0
5865,489,1,9,0
5866,489,1,10,0
5867,489,1,11,1
5868,489,1,12,0
5869,490,1,1,0
5870,490,1,2,0
5871,490,1,3,0
5872,490,1,4,0
5873,490,1,5,1
5874,490,1,6,0
5875,490,1,7,1
5876,490,1,8,1
5877,490,1,9,0
5878,490,1,10,0
5879,490,1,11,0
5880,490,1,12,1
5881,491,1,1,0
5882,491,1,2,0
5883,491,1,3,0
5884,491,1,4,2
5885,491,1,5,1
5886,491,1,6,1
5887,491,1,7,1
5888,491,1,8,0
5889,491,1,9,2
5890,491,1,10,2
5891,491,1,11,2
5892,491,1,12,2
5893,492,1,1,2
5894,492,1,2,1
5895,492,1,3,0
5896,492,1,4,0
5897,492,1,5,0
5898,492,1,6,1
5899,492,1,7,0
5900,492,1,8,0
5901,492,1,9,0
5902,492,1,10,0
5903,492,1,11,0
5904,492,1,12,0
5905,493,1,1,2
5906,493,1,2,2
5907,493,1,3,2
5908,493,1,4,2
5909,493,1,5,2
5910,493,1,6,1
5911,493,1,7,0
5912,493,1,8,1
5913,493,1,9,1
5914,493,1,10,0
5915,493,1,11,2
5916,493,1,12,1
5917,494,1,1,1
5918,494,1,2,0
5919,494,1,3,1
5920,494,1,4,0
5921,494,1,5,0
5922,494,1,6,0
5923,494,1,7,0
5924,494,1,8,0
5925,494,1,9,0
5926,494,1,10,0
5927,494,1,11,0
5928,494,1,12,0
5929,495,1,1,0
5930,495,1,2,1
5931,495,1,3,0
5932,495,1,4,1
5933,495,1,5,1
5934,495,1,6,2
5935,495,1,7,1
5936,495,1,8,0
5937,495,1,9,1
5938,495,1,10,1
5939,495,1,11,0
5940,495,1,12,0
5941,496,1,1,0
5942,496,1,2,0
5943,496,1,3,2
5944,496,1,4,2
5945,496,1,5,1
5946,496,1,6,0
5947,496,1,7,1
5948,496,1,8,1
5949,496,1,9,1
5950,496,1,10,0
5951,496,1,11,1
5952,496,1,12,0
5953,497,1,1,0
5954,497,1,2,2
5955,497,1,3,2
5956,497,1,4,2
5957,497,1,5,0
5958,497,1,6,1
5959,497,1,7,1
5960,497,1,8,1
5961,497,1,9,0
5962,497,1,10,0
5963,497,1,11,0
5964,497,1,12,1
5965,498,1,1,0
5966,498,1,2,0
5967,498,1,3,1
5968,498,1,4,0
5969,498,1,5,1
5970,498,1,6,0
5971,498,1,7,0
5972,498,1,8,1
5973,498,1,9,2
5974,498,1,10,1
5975,498,1,11,0
5976,498,1,12,1
5977,499,1,1,1
5978,499,1,2,0
5979,499,1,3,0
5980,499,1,4,0
5981,499,1,5,0
5982,499,1,6,0
5983,499,1,7,0
5984,499,1,8,0
5985,499,1,9,0
5986,499,1,10,1
5987,499,1,11,0
5988,499,1,12,0
5989,500,1,1,1
5990,500,1,2,0
5991,500,1,3,0
5992,500,1,4,0
5993,500,1,5,0
5994,500,1,6,0
5995,500,1,7,1
5996,500,1,8,2
5997,500,1,9,1
5998,500,1,10,1
5999,500,1,11,1
6000,500,1,12,1
6001,501,1,1,0
6002,501,1,2,0
6003,501,1,3,1
6004,501,1,4,1
6005,501,1,5,3
6006,501,1,6,1
6007,501,1,7,0
6008,501,1,8,0
6009,501,1,9,0
6010,501,1,10,0
6011,501,1,11,0
6012,501,1,12,1
6013,502,1,1,2
6014,502,1,2,2
6015,502,1,3,3
6016,502,1,4,3
6017,502,1,5,0
6018,502,1,6,1
6019,502,1,7,0
6020,502,1,8,0
6021,502,1,9,1
6022,502,1,10,0
6023,502,1,11,0
6024,502,1,12,1
6025,503,0,1,0
6026,503,0,2,0
6027,503,0,3,0
6028,503,0,4,0
6029,503,0,5,0
6030,503,0,6,0
6031,503,0,7,0
6032,503,0,8,0
6033,503,0,9,0
6034,503,0,10,0
6035,503,0,11,0
6036,503,0,12,0
6037,504,1,1,2
6038,504,1,2,2
6039,504,1,3,1
6040,504,1,4,0
6041,504,1,5,0
6042,504,1,6,0
6043,504,1,7,0
6044,504,1,8,1
6045,504,1,9,1
6046,504,1,10,1
6047,504,1,11,1
6048,504,1,12,0
6049,505,0,1,0
6050,505,0,2,0
6051,505,0,3,1
6052,505,0,4,1
6053,505,0,5,2
6054,505,0,6,2
6055,505,0,7,0
6056,505,0,8,0
6057,505,0,9,0
6058,505,0,10,0
6059,505,0,11,0
6060,505,0,12,0
6061,506,1,1,0
6062,506,1,2,2
6063,506,1,3,2
6064,506,1,4,1
6065,506,1,5,1
6066,506,1,6,1
6067,506,1,7,1
6068,506,1,8,1
6069,506,1,9,0
6070,506,1,10,1
6071,506,1,11,0
6072,506,1,12,1
6073,507,1,1,1
6074,507,1,2,1
6075,507,1,3,0
6076,507,1,4,2
6077,507,1,5,2
6078,507,1,6,1
6079,507,1,7,1
6080,507,1,8,0
6081,507,1,9,0
6082,507,1,10,1
6083,507,1,11,0
6084,507,1,12,1
6085,508,1,1,2
6086,508,1,2,1
6087,508,1,3,0
6088,508,1,4,2
6089,508,1,5,1
6090,508,1,6,1
6091,508,1,7,1
6092,508,1,8,0
6093,508,1,9,0
6094,508,1,10,0
6095,508,1,11,0
6096,508,1,12,0
6097,509,1,1,0
6098,509,1,2,0
6099,509,1,3,0
6100,509,1,4,1
6101,509,1,5,0
6102,509,1,6,0
6103,509,1,7,0
6104,509,1,8,0
6105,509,1,9,1
6106,509,1,10,1
6107,509,1,11,3
6108,509,1,12,3
6109,510,0,1,0
6110,510,0,2,0
6111,510,0,3,0
6112,510,0,4,0
6113,510,0,5,0
6114,510,0,6,0
6115,510,0,7,0
